prkplceNo,prkplceNm,prkplceSe,prkplceType,rdnmadr,lnmadr,prkcmprt,feedingSe,enforceSe,operDay,weekdayOperOpenHhmm,weekdayOperColseHhmm,satOperOperOpenHhmm,satOperCloseHhmm,holidayOperOpenHhmm,holidayCloseOpenHhmm,parkingchrgeInfo,basicTime,basicCharge,addUnitTime,addUnitCharge,dayCmmtktAdjTime,dayCmmtkt,monthCmmtkt,metpay,spcmnt,institutionNm,phoneNumber,latitude,longitude,pwdbsPpkZoneYn,referenceDate,insttCode,insttNm
145-2-000006,군청사부설주차장,공영,노외,부산광역시 기장군 기장읍 기장대로 560,부산광역시 기장군 기장읍 신천리 1,410,기타,5부제,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,60,0,10,200,0,4700,10000,신용카드,,기장군도시관리공단,051-792-4897,35.2434815827,129.2229656,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000005,기장시장공영주차장,공영,노외,부산광역시 기장군 기장읍 읍내로94번길 9,부산광역시 기장군 기장읍 대라리 427,216,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,200,10,200,400,8000,160000,신용카드,,기장군도시관리공단,051-792-4992,35.244193356,129.2149936,N,2026-04-16,3400000,부산광역시 기장군
145-2-000040,일광신도시 공영주차장,공영,노외,,부산광역시 기장군 일광읍 삼성리 846,23,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,,2400,52000,신용카드,,부산광역시 기장군 도시관리공단,051-792-4995,35.26350421,129.2252188,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000039,정관읍 임시공영주차장,공영,노외,,부산광역시 기장군 정관읍 용수리 1313,210,4,5부제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,,2400,52000,신용카드,,부산광역시 기장군 도시관리공단,051-792-4995,35.32504443,129.1778358,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000038,화전리 노외공영주차장,공영,노외,,부산광역시 기장군 일광읍 화전리 295-17,20,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-792-4995,35.28098593,129.2306166,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000037,임기리 노외공영주차장,공영,노외,,부산광역시 기장군 철마면 임기리 699-4,22,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-792-4995,35.31948236,129.1179538,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000036,오랑대 공영주차장,공영,노외,,부산광역시 기장군 기장읍 연화리 산 65-1,65,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,,8000,160000,신용카드,,부산광역시 기장군 도시관리공단,051-792-4995,35.20509906,129.2278508,Y,2026-04-16,3400000,부산광역시 기장군
145-1-000014,동산그린타워 주변 이면도로,공영,노상,,부산광역시 기장군 기장읍 동부리 448,63,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.24883371,129.216946,Y,2026-04-16,3400000,부산광역시 기장군
145-1-000012,일광해수욕장 주변,공영,노상,,부산광역시 기장군 일광읍 삼성리 720,45,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,10,300,10,300,,8000,,현금,,부산광역시 기장군 도시관리공단,051-792-4995,35.26026379,129.232753,Y,2026-04-16,3400000,부산광역시 기장군
145-1-000004,기장탕 옆 놀이터,공영,노상,,부산광역시 기장군 기장읍 대라리 124-2,25,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,10,200,10,200,,8000,,현금,,부산광역시 기장군 도시관리공단,051-792-4995,35.2416169489,129.2141686057,Y,2026-04-16,3400000,부산광역시 기장군
145-1-000003,구 국민은행 옆 주변 복개도로,공영,노상,,부산광역시 기장군 기장읍 대라리 775-2,20,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,10,200,10,200,,8000,,현금,,부산광역시 기장군 도시관리공단,051-792-4995,35.2437390033,129.2170291751,Y,2026-04-16,3400000,부산광역시 기장군
145-1-000002,기장시장입구 동부산농협 주변,공영,노상,,부산광역시 기장군 기장읍 대라리 418-10,24,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,10,200,10,200,,8000,,현금,,부산광역시 기장군 도시관리공단,051-792-4995,35.243153331,129.2138199147,Y,2026-04-16,3400000,부산광역시 기장군
145-1-000001,기장시장 뒤편 부산은행 주변,공영,노상,,부산광역시 기장군 기장읍 동부리 486,9,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,10,200,10,200,,8000,,현금,,부산광역시 기장군 도시관리공단,051-792-4995,35.2449335839,129.2154195211,Y,2026-04-16,3400000,부산광역시 기장군
145-1-000004,정관읍상업지역노상공영주차장,공영,노상,"부산광역시 기장군 정관읍 정관7로, 정관8로",,54,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,10,300,10,300,280,8000,0,현금,,기장군도시관리공단,051-792-4992,35.322927,129.177814,N,2026-04-16,3400000,부산광역시 기장군
145-2-000008,좌천 재래시장,공영,노외,,부산광역시 기장군 장안읍 좌천리 45-8,55,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.3092765027,129.2432829092,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000007,장안읍 임랑리 아름마을,공영,노외,,부산광역시 기장군 장안읍 임랑리 380-5,17,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.3161790109,129.259625,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000006,임랑해수욕장 주변 행정봉사실 옆,공영,노외,,부산광역시 기장군 장안읍 임랑리 1-75,51,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.3191536597,129.2640349716,Y,2026-04-16,3400000,부산광역시 기장군
145-1-000037,일광해수욕장 일방통행로,공영,노상,,부산광역시 기장군 일광읍 삼성리 115-25,39,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.2623490428,129.2336376019,Y,2026-04-16,3400000,부산광역시 기장군
145-1-000021,기장중학교 정문 주변,공영,노상,,부산광역시 기장군 기장읍 대라리 4-15,11,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,10,200,10,200,,8000,,현금,,부산광역시 기장군 도시관리공단,051-792-4995,35.24530092,129.2185245826,Y,2026-04-16,3400000,부산광역시 기장군
145-1-000020,정관읍 달산리 성림아파트 전면도로,공영,노상,,부산광역시 기장군 정관읍 달산리 1234,8,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.3221048177,129.1940378203,Y,2026-04-16,3400000,부산광역시 기장군
145-1-000017,청강리 기장병원 주변 이면도로,공영,노상,,부산광역시 기장군 기장읍 청강리 305,190,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.23807078,129.218303,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000043,오리산업단지 노외공영주차장,공영,노외,,부산광역시 기장군 장안읍 오리 1121-4,49,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.35576623,129.2719539,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000042,일광해수욕장 공영주차장,공영,노외,,"부산광역시 기장군 일광읍 삼성리 712, 712-2",71,2,5부제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,,8000,128000,신용카드,,부산광역시 기장군 도시관리공단,051-792-4995,35.26191568,129.2321412,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000041,교리 공영주차장,공영,노외,,부산광역시 기장군 기장읍 교리 12,34,4,5부제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,,2400,52000,신용카드,,부산광역시 기장군 도시관리공단,051-792-4995,35.25586946,129.2195113,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000010,동부근린공원 인근 노외 공영 주차장,공영,노외,부산광역시 기장군 기장읍 차성동로 119,부산광역시 기장군 기장읍 동부리 151-8,97,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,,2400,52000,신용카드,,부산광역시 기장군 도시관리공단,051-792-4995,35.24854274,129.216683,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000009,장안사 진입도로변,공영,노외,,부산광역시 기장군 장안읍 장안리 686-1,106,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.37102072,129.241907,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000024,하장안마을 공영주차장,공영,노외,,부산광역시 기장군 장안읍 장안리 120-6,28,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.3626916955,129.2490322267,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000023,상장안마을 공영주차장,공영,노외,,부산광역시 기장군 장안읍 장안리 412-12,35,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.3705460934,129.243948406,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000022,마지마을 공영주차장,공영,노외,,부산광역시 기장군 철마면 연구리 304-3,29,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.27461793,129.165284,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000018,기장 제1공영주차장,공영,노외,부산광역시 기장군 기장읍 차성동로 70,부산광역시 기장군 기장읍 동부리 280-9,176,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,200,10,200,,4700,60000,신용카드,,부산광역시 기장군 도시관리공단,051-792-4995,35.24403255,129.216915,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000011,오리 대룡마을,공영,노외,,부산광역시 기장군 장안읍 오리 141-8,37,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.3701961004,129.2644709627,Y,2026-04-16,3400000,부산광역시 기장군
133-2-000020,해돋이마을,공영,노외,부산광역시 영도구 와치로 2-14,부산광역시 영도구 청학동 468-57,22,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금,,부산광역시 영도구청,051-419-4552,35.0904128,129.0568423,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000021,청학2동,공영,노외,부산광역시 영도구 청학동로 18-1,부산광역시 영도구 청학동 99-229,53,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금,,부산광역시 영도구청,051-419-4552,35.08920619,129.0622152,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000022,청학동로,공영,노외,부산광역시 영도구 청학동로 58,부산광역시 영도구 청학동 120-8,22,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금,,부산광역시 영도구청,051-419-4552,35.09243615,129.0634763,N,2026-04-17,3280000,부산광역시 영도구
133-2-000012,남항시장,공영,노외,부산광역시 영도구 절영로93번길 41,부산광역시 영도구 남항동2가 267,66,2,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,1200,8000,160000,현금+카드,,부산광역시 영도구청,051-419-4552,35.08826833,129.0407422,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000013,신선하나,공영,노외,부산광역시 영도구 한결길 209,부산광역시 영도구 신선동1가 196-5,42,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금,,부산광역시 영도구청,051-419-4552,35.09054756,129.0477633,N,2026-04-17,3280000,부산광역시 영도구
133-2-000014,신선동,공영,노외,부산광역시 영도구 하나길 472,부산광역시 영도구 신선동2가 136-1,19,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금,,부산광역시 영도구청,051-419-4552,35.08705315,129.046782,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000015,봉래시장,공영,노외,부산광역시 영도구 대교로 9,부산광역시 영도구 봉래동3가 22-2,23,2,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,1200,8000,160000,현금,,부산광역시 영도구청,051-419-4552,35.09272002,129.0438271,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000016,유정아파트,공영,노외,부산광역시 영도구 장미계단길 123,부산광역시 영도구 봉래동5가 122-37,20,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금,,부산광역시 영도구청,051-419-4552,35.09266318,129.0552642,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000017,청학시장,공영,노외,부산광역시 영도구 청학서로 88,부산광역시 영도구 청학동 307-19,26,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금,,부산광역시 영도구청,051-419-4552,35.0968306,129.0592136,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000018,청학하나,공영,노외,부산광역시 영도구 청학서로 88,부산광역시 영도구 청학동 307-19,57,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,1200,8000,160000,현금,,부산광역시 영도구청,051-419-4552,35.09680071,129.0592793,Y,2026-04-17,3280000,부산광역시 영도구
133-2-000019,청학1동,공영,노외,부산광역시 영도구 봉래길 191,부산광역시 영도구 청학동 418-5,40,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,1200,2400,52000,현금,,부산광역시 영도구청,051-419-4552,35.09140058,129.056113,Y,2026-04-17,3280000,부산광역시 영도구
133-1-000010,하늘전망대앞,공영,노상,부산광역시 영도구 절영로 321,부산광역시 영도구 동삼동 산149-4,28,4,요일제,평일+토요일+공휴일,08:00,20:00,08:00,20:00,08:00,20:00,유료,10,100,10,100,600,2400,30000,현금,,부산광역시 영도구청,051-419-4552,35.07447027,129.0541446,Y,2026-04-17,3280000,부산광역시 영도구
133-1-000011,하수종말처리장옆,공영,노상,부산광역시 영도구 해양로 248,부산광역시 영도구 동삼동 190,66,2,요일제,평일+토요일+공휴일,08:00,20:00,08:00,20:00,08:00,20:00,유료,10,300,10,300,600,8000,90000,현금,,부산광역시 영도구청,051-419-4552,35.08557037,129.0756495,Y,2026-04-17,3280000,부산광역시 영도구
133-1-000027,75광장앞,공영,노상,부산광역시 영도구 절영로 355,부산광역시 영도구 동삼동 628-1,19,4,요일제,평일+토요일+공휴일,08:00,20:00,08:00,20:00,08:00,20:00,유료,10,100,10,100,600,2400,30000,현금,,부산광역시 영도구청,051-419-4552,35.0716713,129.0573621,Y,2026-04-17,3280000,부산광역시 영도구
144-2-000001,엄궁초등학교지하주차장,공영,노외,부산광역시 사상구 엄궁로191번길 23,부산광역시 사상구 엄궁동 47,93,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,,2400,52000,현금,,부산광역시 사상구청,051-310-4515,35.12918509,128.9743982,,2026-04-16,3390000,부산광역시 사상구
144-2-000002,학장천공영주차장,공영,노외,부산광역시 사상구 학장로 256,부산광역시 사상구 주례동 1287,90,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,,2400,52000,현금,,부산광역시 사상구청,051-310-4515,35.14567213,128.9946989,,2026-04-16,3390000,부산광역시 사상구
144-2-000003,덕포백양공원공영주차장,공영,노외,부산광역시 사상구 백양대로762번길 17,부산광역시 사상구 덕포동 776-1,50,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,,2400,52000,현금,,부산광역시 사상구청,051-310-4515,35.17490755,128.9895784,,2026-04-16,3390000,부산광역시 사상구
144-2-000004,양지2공원주변,공영,노외,부산광역시 사상구 양지로 18,부산광역시 사상구 주례동 314,74,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,,2400,52000,현금,,부산광역시 사상구청,051-310-4515,35.15408297,129.0044592,,2026-04-16,3390000,부산광역시 사상구
144-2-000005,고동바위공영주차장,공영,노외,부산광역시 사상구 백양대로907번다길 6,부산광역시 사상구 모라동 1359,41,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,,2400,52000,현금,,부산광역시 사상구청,051-310-4515,35.18821145,128.990298,,2026-04-16,3390000,부산광역시 사상구
144-2-000006,모라중학교 지하(노외),공영,노외,부산광역시 사상구 백양대로 936,부산광역시 사상구 모라동 1348,136,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,,2400,52000,현금,,부산광역시 사상구청,051-310-4515,35.19067059,128.9924437,,2026-04-16,3390000,부산광역시 사상구
144-2-000007,감전역 역세권 공영주차장,공영,노외,부산광역시 사상구 새벽시장로133번길 10,부산광역시 사상구 감전동 134-7,215,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,200,10,200,,4700,90000,카드,,부산광역시 사상구청,051-310-4515,35.15424995,128.9886995,,2026-04-16,3390000,부산광역시 사상구
144-2-000008,서감초등학교주변,공영,노외,부산광역시 사상구 새벽시장로63번길 10,부산광역시 사상구 감전동 130-6,18,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,100,10,100,,2400,52000,카드,,부산광역시 사상구청,051-310-4515,35.15553901,128.9811154,,2026-04-16,3390000,부산광역시 사상구
144-2-000009,덕포역역세권 공영주차장,공영,노외,부산광역시 사상구 삼덕로 76,부산광역시 사상구 덕포동 415-1,54,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,200,10,200,,4700,90000,카드,,부산광역시 사상구청,051-310-4515,35.17348043,128.9852643,,2026-04-16,3390000,부산광역시 사상구
144-2-000010,운수천공영주차장,공영,노외,,부산광역시 사상구 모라동 61-1,63,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,부산광역시 사상구청,051-310-4515,35.185597859,129.0105770312,,2026-04-16,3390000,부산광역시 사상구
145-1-000008,일광해수욕장노상공영주차장,공영,노상,,부산광역시 기장군 일광면 삼성리 720,47,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,10,300,10,300,400,8000,0,현금,,기장군도시관리공단,051-792-4992,35.261539,129.233086,N,2026-04-16,3400000,부산광역시 기장군
145-2-000048,좌천리 노외공영주차장,공영,노외,,부산광역시 기장군 장안읍 좌천리 254-9,55,3,5부제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,,4700,60000,신용카드,,부산광역시 기장군 도시관리공단,051-792-4995,35.31411533,129.2439460005,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000047,길천리 공유수면 매립지 노외공영주차장,공영,노외,,부산광역시 기장군 장안읍 길천리 500,31,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.32658766,129.2824625,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000046,월내리 공유수면 매립지 노외공영주차장,공영,노외,,부산광역시 기장군 장안읍 월내리 667,33,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.32614138,129.2792043,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000045,월내리 노외공영주차장,공영,노외,,부산광역시 기장군 장안읍 월내리 618-29,50,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.32767269,129.280356,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000044,삼성리 노외공영주차장(마을전용),공영,노외,,부산광역시 기장군 일광읍 삼성리 39-23,34,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.26407647,129.2346318,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000035,정관 모전리 공영주차장,공영,노외,부산광역시 기장군 정관읍 모전1길 10,부산광역시 기장군 정관읍 모전리 739-3,13,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,10,300,10,300,,8000,160000,신용카드,,부산광역시 기장군 도시관리공단,051-792-4995,35.33536741,129.166157,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000033,백길마을 공영주차장,공영,노외,,부산광역시 기장군 철마면 백길리153-1,25,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.28354056,129.155375,Y,2026-04-16,3400000,부산광역시 기장군
145-2-000032,용수리 공영주차장,공영,노외,,부산광역시 기장군 정관읍 용수리 1366-11,12,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,부산광역시 기장군청 교통행정과,051-709-2486,35.326936,129.171662,Y,2026-04-16,3400000,부산광역시 기장군
